Handle,Title,Body HTML,Vendor,Product Type,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Weight,Variant Weight Unit,Image Src,Image Position,Image Alt Text
Premium-coffee-beans-new-988,Premium Coffee Beans-988,<p>Freshly roasted specialty coffee beans sourced from sustainable farms. Rich flavor profile with notes of chocolate and caramel.</p>-988,BeanMaster-988,Food-988,"coffee,beans,organic,gourmet-988",True-988,PCB-001-988,14.99,17.99,True-988,True-988,shopify-988,50-988,deny-988,manual-988,0.25-988,kg-988,https://images.unsplash.com/photo-1559056199-641a0ac8b55e-988,1-988,Premium coffee beans package-988
Minimalist-wall-clock-new-989,Minimalist Wall Clock-989,<p>Elegant wall clock with a minimalist design. Silent movement ensures no ticking noise. Perfect for any modern interior.</p>-989,ModernDecor-989,Home Decor-989,"clock,wall,minimalist,home decor-989",True-989,MWC-001-989,49.99,59.99,True-989,True-989,shopify-989,18-989,deny-989,manual-989,0.8-989,kg-989,https://images.unsplash.com/photo-1507985622960-4ce3dce7c7a9-989,1-989,Minimalist wall clock-989
Stainless-steel-water-bottle-new-990,Stainless Steel Water Bottle-990,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-990,EcoHydrate-990,Kitchen-990,"water bottle,stainless steel,eco-friendly,hydration-990",True-990,SSWB-001-990,24.99,29.99,True-990,True-990,shopify-990,50-990,deny-990,manual-990,0.35-990,kg-990,https://images.unsplash.com/photo-1602143407151-7111542de6e8-990,1-990,Stainless steel water bottle-990
Modern-desk-lamp-new-991,Modern Desk Lamp-991,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-991,LightCraft-991,Lighting-991,"desk,lamp,office,modern-991",True-991,MDL-001-991,39.99,49.99,True-991,True-991,shopify-991,25-991,deny-991,manual-991,1.2-991,kg-991,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-991,1-991,Modern desk lamp with adjustable arm-991
Modern-desk-lamp-new-992,Modern Desk Lamp-992,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-992,LightCraft-992,Lighting-992,"desk,lamp,office,modern-992",True-992,MDL-001-992,39.99,49.99,True-992,True-992,shopify-992,25-992,deny-992,manual-992,1.2-992,kg-992,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-992,1-992,Modern desk lamp with adjustable arm-992
modern-desk-lamp-new-993,Modern Desk Lamp-993,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-993,LightCraft-993,Lighting-993,"desk,lamp,office,modern-993",True-993,MDL-001-993,39.99,49.99,True-993,True-993,shopify-993,25-993,deny-993,manual-993,1.2-993,kg-993,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-993,1-993,Modern desk lamp with adjustable arm-993
Ergonomic-office-chair-new-994,Ergonomic Office Chair-994,<p>Premium ergonomic office chair with lumbar support and adjustable height. Designed for maximum comfort during long work hours.</p>-994,ComfortSeating-994,Furniture-994,"chair,office,ergonomic,furniture-994",True-994,EOC-001-994,189.99,229.99,True-994,True-994,shopify-994,12-994,deny-994,manual-994,15.5-994,kg-994,https://images.unsplash.com/photo-1505797149-35ebcb016d74-994,1-994,Ergonomic office chair with mesh back-994
Wireless-bluetooth-speaker-new-995,Wireless Bluetooth Speaker-995,<p>Portable Bluetooth speaker with superior sound quality and 12-hour battery life. Waterproof design makes it perfect for outdoor use.</p>-995,SoundWave-995,Electronics-995,"speaker,bluetooth,wireless,audio-995",True-995,WBS-001-995,79.99,99.99,True-995,True-995,shopify-995,30-995,deny-995,manual-995,0.5-995,kg-995,https://images.unsplash.com/photo-1589003077984-894e133dabab-995,1-995,Portable Bluetooth speaker-995
Premium-yoga-mat-new-996,Premium Yoga Mat-996,<p>Extra thick yoga mat made from eco-friendly materials. Non-slip surface provides excellent grip during practice.</p>-996,ZenFitness-996,Fitness-996,"yoga,mat,fitness,exercise-996",True-996,PYM-001-996,45.99,59.99,True-996,True-996,shopify-996,40-996,deny-996,manual-996,1.8-996,kg-996,https://images.unsplash.com/photo-1518611012118-696072aa579a-996,1-996,Premium yoga mat-996
Stainless-steel-water-bottle-new-997,Stainless Steel Water Bottle-997,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-997,EcoHydrate-997,Kitchen-997,"water bottle,stainless steel,eco-friendly,hydration-997",True-997,SSWB-001-997,24.99,29.99,True-997,True-997,shopify-997,50-997,deny-997,manual-997,0.35-997,kg-997,https://images.unsplash.com/photo-1602143407151-7111542de6e8-997,1-997,Stainless steel water bottle-997
Handcrafted-ceramic-mug-new-998,Handcrafted Ceramic Mug-998,"<p>Artisan-made ceramic mug, perfect for your morning coffee or tea. Each piece is unique with slight variations in the glaze.</p>-998",ArtisanWares-998,Kitchen-998,"mug,ceramic,handcrafted,coffee-998",True-998,HCM-001-998,18.99,24.99,True-998,True-998,shopify-998,20-998,deny-998,manual-998,0.4-998,kg-998,https://images.unsplash.com/photo-1577937927533-addefece22c3-998,1-998,Handcrafted ceramic mug-998
Organic-cotton-t-shirt-new-999,Organic Cotton T-Shirt-999,<p>Ultra-soft organic cotton t-shirt. Ethically sourced and manufactured. Classic fit suitable for everyday wear.</p>-999,EcoClothing-999,Apparel-999,"t-shirt,organic,cotton,clothing-999",True-999,OCTS-001-999,29.99,34.99,True-999,True-999,shopify-999,30-999,deny-999,manual-999,0.2-999,kg-999,https://images.unsplash.com/photo-1581655353564-df123a1eb820-999,1-999,Organic cotton t-shirt-999
Smart-fitness-tracker-new-1000,Smart Fitness Tracker-1000,"<p>Advanced fitness tracker with heart rate monitoring, sleep tracking, and smartphone notifications. Water-resistant design for all-day wear.</p>-1000",TechFit-1000,Electronics-1000,"fitness,tracker,smartwatch,health-1000",True-1000,SFT-001-1000,89.99,109.99,True-1000,True-1000,shopify-1000,15-1000,deny-1000,manual-1000,0.05-1000,kg-1000,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6-1000,1-1000,Smart fitness tracker-1000
Premium-coffee-beans-new-1001,Premium Coffee Beans-1001,<p>Freshly roasted specialty coffee beans sourced from sustainable farms. Rich flavor profile with notes of chocolate and caramel.</p>-1001,BeanMaster-1001,Food-1001,"coffee,beans,organic,gourmet-1001",True-1001,PCB-001-1001,14.99,17.99,True-1001,True-1001,shopify-1001,50-1001,deny-1001,manual-1001,0.25-1001,kg-1001,https://images.unsplash.com/photo-1559056199-641a0ac8b55e-1001,1-1001,Premium coffee beans package-1001
Minimalist-wall-clock-new-1002,Minimalist Wall Clock-1002,<p>Elegant wall clock with a minimalist design. Silent movement ensures no ticking noise. Perfect for any modern interior.</p>-1002,ModernDecor-1002,Home Decor-1002,"clock,wall,minimalist,home decor-1002",True-1002,MWC-001-1002,49.99,59.99,True-1002,True-1002,shopify-1002,18-1002,deny-1002,manual-1002,0.8-1002,kg-1002,https://images.unsplash.com/photo-1507985622960-4ce3dce7c7a9-1002,1-1002,Minimalist wall clock-1002
Stainless-steel-water-bottle-new-1003,Stainless Steel Water Bottle-1003,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-1003,EcoHydrate-1003,Kitchen-1003,"water bottle,stainless steel,eco-friendly,hydration-1003",True-1003,SSWB-001-1003,24.99,29.99,True-1003,True-1003,shopify-1003,50-1003,deny-1003,manual-1003,0.35-1003,kg-1003,https://images.unsplash.com/photo-1602143407151-7111542de6e8-1003,1-1003,Stainless steel water bottle-1003
Modern-desk-lamp-new-1004,Modern Desk Lamp-1004,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1004,LightCraft-1004,Lighting-1004,"desk,lamp,office,modern-1004",True-1004,MDL-001-1004,39.99,49.99,True-1004,True-1004,shopify-1004,25-1004,deny-1004,manual-1004,1.2-1004,kg-1004,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1004,1-1004,Modern desk lamp with adjustable arm-1004
Modern-desk-lamp-new-1005,Modern Desk Lamp-1005,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1005,LightCraft-1005,Lighting-1005,"desk,lamp,office,modern-1005",True-1005,MDL-001-1005,39.99,49.99,True-1005,True-1005,shopify-1005,25-1005,deny-1005,manual-1005,1.2-1005,kg-1005,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1005,1-1005,Modern desk lamp with adjustable arm-1005
modern-desk-lamp-new-1006,Modern Desk Lamp-1006,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1006,LightCraft-1006,Lighting-1006,"desk,lamp,office,modern-1006",True-1006,MDL-001-1006,39.99,49.99,True-1006,True-1006,shopify-1006,25-1006,deny-1006,manual-1006,1.2-1006,kg-1006,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1006,1-1006,Modern desk lamp with adjustable arm-1006
Ergonomic-office-chair-new-1007,Ergonomic Office Chair-1007,<p>Premium ergonomic office chair with lumbar support and adjustable height. Designed for maximum comfort during long work hours.</p>-1007,ComfortSeating-1007,Furniture-1007,"chair,office,ergonomic,furniture-1007",True-1007,EOC-001-1007,189.99,229.99,True-1007,True-1007,shopify-1007,12-1007,deny-1007,manual-1007,15.5-1007,kg-1007,https://images.unsplash.com/photo-1505797149-35ebcb016d74-1007,1-1007,Ergonomic office chair with mesh back-1007
Wireless-bluetooth-speaker-new-1008,Wireless Bluetooth Speaker-1008,<p>Portable Bluetooth speaker with superior sound quality and 12-hour battery life. Waterproof design makes it perfect for outdoor use.</p>-1008,SoundWave-1008,Electronics-1008,"speaker,bluetooth,wireless,audio-1008",True-1008,WBS-001-1008,79.99,99.99,True-1008,True-1008,shopify-1008,30-1008,deny-1008,manual-1008,0.5-1008,kg-1008,https://images.unsplash.com/photo-1589003077984-894e133dabab-1008,1-1008,Portable Bluetooth speaker-1008
Premium-yoga-mat-new-1009,Premium Yoga Mat-1009,<p>Extra thick yoga mat made from eco-friendly materials. Non-slip surface provides excellent grip during practice.</p>-1009,ZenFitness-1009,Fitness-1009,"yoga,mat,fitness,exercise-1009",True-1009,PYM-001-1009,45.99,59.99,True-1009,True-1009,shopify-1009,40-1009,deny-1009,manual-1009,1.8-1009,kg-1009,https://images.unsplash.com/photo-1518611012118-696072aa579a-1009,1-1009,Premium yoga mat-1009
Stainless-steel-water-bottle-new-1010,Stainless Steel Water Bottle-1010,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-1010,EcoHydrate-1010,Kitchen-1010,"water bottle,stainless steel,eco-friendly,hydration-1010",True-1010,SSWB-001-1010,24.99,29.99,True-1010,True-1010,shopify-1010,50-1010,deny-1010,manual-1010,0.35-1010,kg-1010,https://images.unsplash.com/photo-1602143407151-7111542de6e8-1010,1-1010,Stainless steel water bottle-1010
Handcrafted-ceramic-mug-new-1011,Handcrafted Ceramic Mug-1011,"<p>Artisan-made ceramic mug, perfect for your morning coffee or tea. Each piece is unique with slight variations in the glaze.</p>-1011",ArtisanWares-1011,Kitchen-1011,"mug,ceramic,handcrafted,coffee-1011",True-1011,HCM-001-1011,18.99,24.99,True-1011,True-1011,shopify-1011,20-1011,deny-1011,manual-1011,0.4-1011,kg-1011,https://images.unsplash.com/photo-1577937927533-addefece22c3-1011,1-1011,Handcrafted ceramic mug-1011
Organic-cotton-t-shirt-new-1012,Organic Cotton T-Shirt-1012,<p>Ultra-soft organic cotton t-shirt. Ethically sourced and manufactured. Classic fit suitable for everyday wear.</p>-1012,EcoClothing-1012,Apparel-1012,"t-shirt,organic,cotton,clothing-1012",True-1012,OCTS-001-1012,29.99,34.99,True-1012,True-1012,shopify-1012,30-1012,deny-1012,manual-1012,0.2-1012,kg-1012,https://images.unsplash.com/photo-1581655353564-df123a1eb820-1012,1-1012,Organic cotton t-shirt-1012
Smart-fitness-tracker-new-1013,Smart Fitness Tracker-1013,"<p>Advanced fitness tracker with heart rate monitoring, sleep tracking, and smartphone notifications. Water-resistant design for all-day wear.</p>-1013",TechFit-1013,Electronics-1013,"fitness,tracker,smartwatch,health-1013",True-1013,SFT-001-1013,89.99,109.99,True-1013,True-1013,shopify-1013,15-1013,deny-1013,manual-1013,0.05-1013,kg-1013,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6-1013,1-1013,Smart fitness tracker-1013
Premium-coffee-beans-new-1014,Premium Coffee Beans-1014,<p>Freshly roasted specialty coffee beans sourced from sustainable farms. Rich flavor profile with notes of chocolate and caramel.</p>-1014,BeanMaster-1014,Food-1014,"coffee,beans,organic,gourmet-1014",True-1014,PCB-001-1014,14.99,17.99,True-1014,True-1014,shopify-1014,50-1014,deny-1014,manual-1014,0.25-1014,kg-1014,https://images.unsplash.com/photo-1559056199-641a0ac8b55e-1014,1-1014,Premium coffee beans package-1014
Minimalist-wall-clock-new-1015,Minimalist Wall Clock-1015,<p>Elegant wall clock with a minimalist design. Silent movement ensures no ticking noise. Perfect for any modern interior.</p>-1015,ModernDecor-1015,Home Decor-1015,"clock,wall,minimalist,home decor-1015",True-1015,MWC-001-1015,49.99,59.99,True-1015,True-1015,shopify-1015,18-1015,deny-1015,manual-1015,0.8-1015,kg-1015,https://images.unsplash.com/photo-1507985622960-4ce3dce7c7a9-1015,1-1015,Minimalist wall clock-1015
Stainless-steel-water-bottle-new-1016,Stainless Steel Water Bottle-1016,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-1016,EcoHydrate-1016,Kitchen-1016,"water bottle,stainless steel,eco-friendly,hydration-1016",True-1016,SSWB-001-1016,24.99,29.99,True-1016,True-1016,shopify-1016,50-1016,deny-1016,manual-1016,0.35-1016,kg-1016,https://images.unsplash.com/photo-1602143407151-7111542de6e8-1016,1-1016,Stainless steel water bottle-1016
Modern-desk-lamp-new-1017,Modern Desk Lamp-1017,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1017,LightCraft-1017,Lighting-1017,"desk,lamp,office,modern-1017",True-1017,MDL-001-1017,39.99,49.99,True-1017,True-1017,shopify-1017,25-1017,deny-1017,manual-1017,1.2-1017,kg-1017,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1017,1-1017,Modern desk lamp with adjustable arm-1017
Modern-desk-lamp-new-1018,Modern Desk Lamp-1018,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1018,LightCraft-1018,Lighting-1018,"desk,lamp,office,modern-1018",True-1018,MDL-001-1018,39.99,49.99,True-1018,True-1018,shopify-1018,25-1018,deny-1018,manual-1018,1.2-1018,kg-1018,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1018,1-1018,Modern desk lamp with adjustable arm-1018
modern-desk-lamp-new-1019,Modern Desk Lamp-1019,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1019,LightCraft-1019,Lighting-1019,"desk,lamp,office,modern-1019",True-1019,MDL-001-1019,39.99,49.99,True-1019,True-1019,shopify-1019,25-1019,deny-1019,manual-1019,1.2-1019,kg-1019,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1019,1-1019,Modern desk lamp with adjustable arm-1019
Ergonomic-office-chair-new-1020,Ergonomic Office Chair-1020,<p>Premium ergonomic office chair with lumbar support and adjustable height. Designed for maximum comfort during long work hours.</p>-1020,ComfortSeating-1020,Furniture-1020,"chair,office,ergonomic,furniture-1020",True-1020,EOC-001-1020,189.99,229.99,True-1020,True-1020,shopify-1020,12-1020,deny-1020,manual-1020,15.5-1020,kg-1020,https://images.unsplash.com/photo-1505797149-35ebcb016d74-1020,1-1020,Ergonomic office chair with mesh back-1020
Wireless-bluetooth-speaker-new-1021,Wireless Bluetooth Speaker-1021,<p>Portable Bluetooth speaker with superior sound quality and 12-hour battery life. Waterproof design makes it perfect for outdoor use.</p>-1021,SoundWave-1021,Electronics-1021,"speaker,bluetooth,wireless,audio-1021",True-1021,WBS-001-1021,79.99,99.99,True-1021,True-1021,shopify-1021,30-1021,deny-1021,manual-1021,0.5-1021,kg-1021,https://images.unsplash.com/photo-1589003077984-894e133dabab-1021,1-1021,Portable Bluetooth speaker-1021
Premium-yoga-mat-new-1022,Premium Yoga Mat-1022,<p>Extra thick yoga mat made from eco-friendly materials. Non-slip surface provides excellent grip during practice.</p>-1022,ZenFitness-1022,Fitness-1022,"yoga,mat,fitness,exercise-1022",True-1022,PYM-001-1022,45.99,59.99,True-1022,True-1022,shopify-1022,40-1022,deny-1022,manual-1022,1.8-1022,kg-1022,https://images.unsplash.com/photo-1518611012118-696072aa579a-1022,1-1022,Premium yoga mat-1022
Stainless-steel-water-bottle-new-1023,Stainless Steel Water Bottle-1023,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-1023,EcoHydrate-1023,Kitchen-1023,"water bottle,stainless steel,eco-friendly,hydration-1023",True-1023,SSWB-001-1023,24.99,29.99,True-1023,True-1023,shopify-1023,50-1023,deny-1023,manual-1023,0.35-1023,kg-1023,https://images.unsplash.com/photo-1602143407151-7111542de6e8-1023,1-1023,Stainless steel water bottle-1023
Handcrafted-ceramic-mug-new-1024,Handcrafted Ceramic Mug-1024,"<p>Artisan-made ceramic mug, perfect for your morning coffee or tea. Each piece is unique with slight variations in the glaze.</p>-1024",ArtisanWares-1024,Kitchen-1024,"mug,ceramic,handcrafted,coffee-1024",True-1024,HCM-001-1024,18.99,24.99,True-1024,True-1024,shopify-1024,20-1024,deny-1024,manual-1024,0.4-1024,kg-1024,https://images.unsplash.com/photo-1577937927533-addefece22c3-1024,1-1024,Handcrafted ceramic mug-1024
Organic-cotton-t-shirt-new-1025,Organic Cotton T-Shirt-1025,<p>Ultra-soft organic cotton t-shirt. Ethically sourced and manufactured. Classic fit suitable for everyday wear.</p>-1025,EcoClothing-1025,Apparel-1025,"t-shirt,organic,cotton,clothing-1025",True-1025,OCTS-001-1025,29.99,34.99,True-1025,True-1025,shopify-1025,30-1025,deny-1025,manual-1025,0.2-1025,kg-1025,https://images.unsplash.com/photo-1581655353564-df123a1eb820-1025,1-1025,Organic cotton t-shirt-1025
Smart-fitness-tracker-new-1026,Smart Fitness Tracker-1026,"<p>Advanced fitness tracker with heart rate monitoring, sleep tracking, and smartphone notifications. Water-resistant design for all-day wear.</p>-1026",TechFit-1026,Electronics-1026,"fitness,tracker,smartwatch,health-1026",True-1026,SFT-001-1026,89.99,109.99,True-1026,True-1026,shopify-1026,15-1026,deny-1026,manual-1026,0.05-1026,kg-1026,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6-1026,1-1026,Smart fitness tracker-1026
Premium-coffee-beans-new-1027,Premium Coffee Beans-1027,<p>Freshly roasted specialty coffee beans sourced from sustainable farms. Rich flavor profile with notes of chocolate and caramel.</p>-1027,BeanMaster-1027,Food-1027,"coffee,beans,organic,gourmet-1027",True-1027,PCB-001-1027,14.99,17.99,True-1027,True-1027,shopify-1027,50-1027,deny-1027,manual-1027,0.25-1027,kg-1027,https://images.unsplash.com/photo-1559056199-641a0ac8b55e-1027,1-1027,Premium coffee beans package-1027
Minimalist-wall-clock-new-1028,Minimalist Wall Clock-1028,<p>Elegant wall clock with a minimalist design. Silent movement ensures no ticking noise. Perfect for any modern interior.</p>-1028,ModernDecor-1028,Home Decor-1028,"clock,wall,minimalist,home decor-1028",True-1028,MWC-001-1028,49.99,59.99,True-1028,True-1028,shopify-1028,18-1028,deny-1028,manual-1028,0.8-1028,kg-1028,https://images.unsplash.com/photo-1507985622960-4ce3dce7c7a9-1028,1-1028,Minimalist wall clock-1028
Stainless-steel-water-bottle-new-1029,Stainless Steel Water Bottle-1029,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-1029,EcoHydrate-1029,Kitchen-1029,"water bottle,stainless steel,eco-friendly,hydration-1029",True-1029,SSWB-001-1029,24.99,29.99,True-1029,True-1029,shopify-1029,50-1029,deny-1029,manual-1029,0.35-1029,kg-1029,https://images.unsplash.com/photo-1602143407151-7111542de6e8-1029,1-1029,Stainless steel water bottle-1029
Modern-desk-lamp-new-1030,Modern Desk Lamp-1030,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1030,LightCraft-1030,Lighting-1030,"desk,lamp,office,modern-1030",True-1030,MDL-001-1030,39.99,49.99,True-1030,True-1030,shopify-1030,25-1030,deny-1030,manual-1030,1.2-1030,kg-1030,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1030,1-1030,Modern desk lamp with adjustable arm-1030
Modern-desk-lamp-new-1031,Modern Desk Lamp-1031,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1031,LightCraft-1031,Lighting-1031,"desk,lamp,office,modern-1031",True-1031,MDL-001-1031,39.99,49.99,True-1031,True-1031,shopify-1031,25-1031,deny-1031,manual-1031,1.2-1031,kg-1031,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1031,1-1031,Modern desk lamp with adjustable arm-1031
modern-desk-lamp-new-1032,Modern Desk Lamp-1032,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1032,LightCraft-1032,Lighting-1032,"desk,lamp,office,modern-1032",True-1032,MDL-001-1032,39.99,49.99,True-1032,True-1032,shopify-1032,25-1032,deny-1032,manual-1032,1.2-1032,kg-1032,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1032,1-1032,Modern desk lamp with adjustable arm-1032
Ergonomic-office-chair-new-1033,Ergonomic Office Chair-1033,<p>Premium ergonomic office chair with lumbar support and adjustable height. Designed for maximum comfort during long work hours.</p>-1033,ComfortSeating-1033,Furniture-1033,"chair,office,ergonomic,furniture-1033",True-1033,EOC-001-1033,189.99,229.99,True-1033,True-1033,shopify-1033,12-1033,deny-1033,manual-1033,15.5-1033,kg-1033,https://images.unsplash.com/photo-1505797149-35ebcb016d74-1033,1-1033,Ergonomic office chair with mesh back-1033
Wireless-bluetooth-speaker-new-1034,Wireless Bluetooth Speaker-1034,<p>Portable Bluetooth speaker with superior sound quality and 12-hour battery life. Waterproof design makes it perfect for outdoor use.</p>-1034,SoundWave-1034,Electronics-1034,"speaker,bluetooth,wireless,audio-1034",True-1034,WBS-001-1034,79.99,99.99,True-1034,True-1034,shopify-1034,30-1034,deny-1034,manual-1034,0.5-1034,kg-1034,https://images.unsplash.com/photo-1589003077984-894e133dabab-1034,1-1034,Portable Bluetooth speaker-1034
Premium-yoga-mat-new-1035,Premium Yoga Mat-1035,<p>Extra thick yoga mat made from eco-friendly materials. Non-slip surface provides excellent grip during practice.</p>-1035,ZenFitness-1035,Fitness-1035,"yoga,mat,fitness,exercise-1035",True-1035,PYM-001-1035,45.99,59.99,True-1035,True-1035,shopify-1035,40-1035,deny-1035,manual-1035,1.8-1035,kg-1035,https://images.unsplash.com/photo-1518611012118-696072aa579a-1035,1-1035,Premium yoga mat-1035
Stainless-steel-water-bottle-new-1036,Stainless Steel Water Bottle-1036,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-1036,EcoHydrate-1036,Kitchen-1036,"water bottle,stainless steel,eco-friendly,hydration-1036",True-1036,SSWB-001-1036,24.99,29.99,True-1036,True-1036,shopify-1036,50-1036,deny-1036,manual-1036,0.35-1036,kg-1036,https://images.unsplash.com/photo-1602143407151-7111542de6e8-1036,1-1036,Stainless steel water bottle-1036
Handcrafted-ceramic-mug-new-1037,Handcrafted Ceramic Mug-1037,"<p>Artisan-made ceramic mug, perfect for your morning coffee or tea. Each piece is unique with slight variations in the glaze.</p>-1037",ArtisanWares-1037,Kitchen-1037,"mug,ceramic,handcrafted,coffee-1037",True-1037,HCM-001-1037,18.99,24.99,True-1037,True-1037,shopify-1037,20-1037,deny-1037,manual-1037,0.4-1037,kg-1037,https://images.unsplash.com/photo-1577937927533-addefece22c3-1037,1-1037,Handcrafted ceramic mug-1037
Organic-cotton-t-shirt-new-1038,Organic Cotton T-Shirt-1038,<p>Ultra-soft organic cotton t-shirt. Ethically sourced and manufactured. Classic fit suitable for everyday wear.</p>-1038,EcoClothing-1038,Apparel-1038,"t-shirt,organic,cotton,clothing-1038",True-1038,OCTS-001-1038,29.99,34.99,True-1038,True-1038,shopify-1038,30-1038,deny-1038,manual-1038,0.2-1038,kg-1038,https://images.unsplash.com/photo-1581655353564-df123a1eb820-1038,1-1038,Organic cotton t-shirt-1038
Smart-fitness-tracker-new-1039,Smart Fitness Tracker-1039,"<p>Advanced fitness tracker with heart rate monitoring, sleep tracking, and smartphone notifications. Water-resistant design for all-day wear.</p>-1039",TechFit-1039,Electronics-1039,"fitness,tracker,smartwatch,health-1039",True-1039,SFT-001-1039,89.99,109.99,True-1039,True-1039,shopify-1039,15-1039,deny-1039,manual-1039,0.05-1039,kg-1039,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6-1039,1-1039,Smart fitness tracker-1039
Premium-coffee-beans-new-1040,Premium Coffee Beans-1040,<p>Freshly roasted specialty coffee beans sourced from sustainable farms. Rich flavor profile with notes of chocolate and caramel.</p>-1040,BeanMaster-1040,Food-1040,"coffee,beans,organic,gourmet-1040",True-1040,PCB-001-1040,14.99,17.99,True-1040,True-1040,shopify-1040,50-1040,deny-1040,manual-1040,0.25-1040,kg-1040,https://images.unsplash.com/photo-1559056199-641a0ac8b55e-1040,1-1040,Premium coffee beans package-1040
Minimalist-wall-clock-new-1041,Minimalist Wall Clock-1041,<p>Elegant wall clock with a minimalist design. Silent movement ensures no ticking noise. Perfect for any modern interior.</p>-1041,ModernDecor-1041,Home Decor-1041,"clock,wall,minimalist,home decor-1041",True-1041,MWC-001-1041,49.99,59.99,True-1041,True-1041,shopify-1041,18-1041,deny-1041,manual-1041,0.8-1041,kg-1041,https://images.unsplash.com/photo-1507985622960-4ce3dce7c7a9-1041,1-1041,Minimalist wall clock-1041
Stainless-steel-water-bottle-new-1042,Stainless Steel Water Bottle-1042,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-1042,EcoHydrate-1042,Kitchen-1042,"water bottle,stainless steel,eco-friendly,hydration-1042",True-1042,SSWB-001-1042,24.99,29.99,True-1042,True-1042,shopify-1042,50-1042,deny-1042,manual-1042,0.35-1042,kg-1042,https://images.unsplash.com/photo-1602143407151-7111542de6e8-1042,1-1042,Stainless steel water bottle-1042
Modern-desk-lamp-new-1043,Modern Desk Lamp-1043,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1043,LightCraft-1043,Lighting-1043,"desk,lamp,office,modern-1043",True-1043,MDL-001-1043,39.99,49.99,True-1043,True-1043,shopify-1043,25-1043,deny-1043,manual-1043,1.2-1043,kg-1043,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1043,1-1043,Modern desk lamp with adjustable arm-1043
Modern-desk-lamp-new-1044,Modern Desk Lamp-1044,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-1044,LightCraft-1044,Lighting-1044,"desk,lamp,office,modern-1044",True-1044,MDL-001-1044,39.99,49.99,True-1044,True-1044,shopify-1044,25-1044,deny-1044,manual-1044,1.2-1044,kg-1044,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-1044,1-1044,Modern desk lamp with adjustable arm-1044
